"word","synonym","cosine","freq"
"protest","protester",0.729939639568329,12
"protest","activist",0.649093985557556,70
"protest","riot",0.643338263034821,8
"protest","accusation",0.639601826667786,20
"protest","proliferation",0.637122750282288,19
"anti","israel",0.738280057907104,173
"anti","semitism",0.726543128490448,6
"anti","israeli",0.726199269294739,64
"anti","semitic",0.709179818630219,8
"anti","bds",0.707178354263306,25
"community led","community",0.853650987148285,1118
"community led","promote",0.70973789691925,212
"community led","tourism",0.689957976341248,1100
"community led","sustainably",0.687617659568787,13
"community led","sustainability",0.66936331987381,25
"affordability","unaffordability",0.909073889255524,5
"affordability","housing affordability",0.821492075920105,74
"affordability","crisis",0.711008965969086,174
"affordability","n11",0.697003304958344,28
"affordability","unaffordable",0.689217805862427,6
"oppose","commenter",0.61184698343277,9
"oppose","criticize",0.599421799182892,42
"oppose","lawmaker",0.581800818443298,81
"oppose","opposition",0.578276216983795,73
"oppose","trades",0.57771247625351,12
"resist","resistance",0.735307335853577,17
"resist","setback",0.6379154920578,14
"resist","lawsuit",0.609499037265778,213
"resist","desist",0.595785856246948,7
"resist","forward",0.593809962272644,152
"opposition","objection",0.688731014728546,11
"opposition","plight",0.673962473869324,5
"opposition","victory",0.657229781150818,44
"opposition","elect",0.6352578997612,51
"opposition","protest",0.633193969726562,69
"gentrification","displacement",0.801592528820038,18
"gentrification","gentrify",0.797862887382507,27
"gentrification","gentrified",0.787655889987946,6
"gentrification","socioeconomic",0.785004615783691,9
"gentrification","inequality",0.695308864116669,22
"threat","pose",0.740860819816589,96
"threat","formidable",0.68570464849472,5
"threat","unfair",0.655801475048065,67
"threat","competition",0.640976965427399,198
"threat","overregulation",0.639560043811798,6
"manifestation","manifesto",0.819180011749268,8
"manifestation","become",0.677030146121979,905
"manifestation","slim",0.640877425670624,5
"manifestation","inspiration",0.63744705915451,26
"manifestation","compose",0.629595935344696,10
"complaint","response",0.690955340862274,207
"complaint","hotline",0.684732496738434,10
"complaint","neighbour",0.682314455509186,95
"complaint","complain",0.667750537395477,121
"complaint","issue",0.653711318969727,924
"disapprove","disappoint",0.709707915782928,16
"disapprove","disappear",0.708199679851532,43
"disapprove","respond",0.658434748649597,228
"disapprove","disappointing",0.651961028575897,14
"disapprove","disappointed",0.646222531795502,10
"evict","tenant",0.761236310005188,420
